Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,table_1_flag,Geocoded_City1,Geocoded_City2
2024,3,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,4241,232.29,AA,0.4233,275.46,WN,0.3461,205.32,-1,,
2024,3,30721,32457,"Boston, MA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2704,4119,347.46,B6,0.3339,337.88,DL,0.2002,326.82,-1,,
2024,3,30977,31454,"Chicago, IL","Orlando, FL",1005,4118,175.38,WN,0.3545,174.17,NK,0.1059,105.54,-1,,
2024,3,30977,32467,"Chicago, IL","Miami, FL (Metropolitan Area)",1197,4100,189.35,NK,0.2964,107.77,NK,0.2964,107.77,-1,,
2024,3,30721,31703,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",209,4059,158.39,DL,0.3430,183.02,B6,0.2713,127.15,-1,,
2024,3,30397,30977,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,4043,189.90,DL,0.3669,236.32,F9,0.1205,106.69,-1,,
2024,3,30977,32211,"Chicago, IL","Las Vegas, NV",1521,4010,202.49,WN,0.3436,196.13,NK,0.1514,117.44,-1,,
2024,3,31703,30559,"New York City, NY (Metropolitan Area)","Seattle, WA",2448,4009,341.76,AS,0.3890,323.54,AS,0.3890,323.54,-1,,
2024,3,31057,31703,"Charlotte, NC","New York City, NY (Metropolitan Area)",575,3982,186.29,AA,0.4859,204.53,NK,0.1174,105.12,-1,,
2024,3,30721,32467,"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)",1283,3758,175.21,B6,0.3401,162.25,NK,0.1149,103.22,-1,,
2024,3,30325,30852,"Denver, CO","Washington, DC (Metropolitan Area)",1491,3699,254.99,UA,0.4717,300.45,F9,0.1386,140.18,-1,,
2024,3,32457,30852,"San Francisco, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",2457,3678,353.97,UA,0.5268,415.81,WN,0.1511,270.78,-1,,
2024,3,32575,32467,"Los Angeles, CA (Metropolitan Area)","Miami, FL (Metropolitan Area)",2343,3658,301.27,AA,0.4751,317.36,DL,0.1655,286.69,-1,,
2024,3,30325,32457,"Denver, CO","San Francisco, CA (Metropolitan Area)",967,3631,209.26,UA,0.4692,240.48,WN,0.4368,190.31,-1,,
2024,3,31295,31703,"Detroit, MI","New York City, NY (Metropolitan Area)",540,3574,200.76,DL,0.5189,243.71,NK,0.2612,108.50,-1,,
2024,3,30693,31703,"Nashville, TN","New York City, NY (Metropolitan Area)",803,3532,179.31,UA,0.2379,216.70,WN,0.2151,150.12,-1,,
2024,3,30977,30466,"Chicago, IL","Phoenix, AZ",1444,3487,203.07,WN,0.3955,180.06,WN,0.3955,180.06,-1,,
2024,3,32575,34614,"Los Angeles, CA (Metropolitan Area)","Salt Lake City, UT",590,3481,182.99,DL,0.6396,206.99,WN,0.1980,152.11,-1,,
2024,3,30977,31453,"Chicago, IL","Houston, TX",945,3455,197.21,UA,0.4104,243.12,NK,0.1102,110.36,-1,,
2024,3,30397,32575,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,3451,331.52,DL,0.5333,429.09,NK,0.1503,149.22,-1,,
2024,3,31703,34492,"New York City, NY (Metropolitan Area)","Raleigh/Durham, NC",459,3433,156.38,DL,0.3232,174.93,AA,0.2663,145.99,-1,,
2024,3,30397,30194,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",731,3419,203.15,DL,0.3755,238.79,WN,0.1844,182.46,-1,,
2024,3,30194,30325,"Dallas/Fort Worth, TX","Denver, CO",651,3416,177.28,WN,0.3828,163.99,F9,0.1256,101.09,-1,,
2024,3,31454,34100,"Orlando, FL","Philadelphia, PA",861,3323,155.88,AA,0.4532,203.83,NK,0.1268,95.03,-1,,
2024,3,30466,32457,"Phoenix, AZ","San Francisco, CA (Metropolitan Area)",651,3205,164.26,WN,0.6101,163.49,UA,0.1489,161.83,-1,,
2024,3,30194,32211,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,3193,207.41,AA,0.3912,271.94,NK,0.1802,108.22,-1,,
2024,3,31703,33570,"New York City, NY (Metropolitan Area)","San Diego, CA",2481,3180,308.49,UA,0.2909,334.31,AS,0.2219,273.68,-1,,
2024,3,34057,32457,"Portland, OR","San Francisco, CA (Metropolitan Area)",569,3155,164.82,AS,0.4181,179.65,WN,0.3508,151.54,-1,,
2024,3,32211,30559,"Las Vegas, NV","Seattle, WA",867,3078,161.81,AS,0.4898,171.33,WN,0.1182,159.93,-1,,
2024,3,30977,30559,"Chicago, IL","Seattle, WA",1733,3069,234.78,AS,0.3984,228.72,AS,0.3984,228.72,-1,,
2024,3,31703,30466,"New York City, NY (Metropolitan Area)","Phoenix, AZ",2189,3029,268.06,AA,0.3617,276.95,UA,0.3026,268.55,-1,,
