Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,table_1_flag,Geocoded_City1,Geocoded_City2
2024,3,32206,31453,"Harlingen/San Benito, TX","Houston, TX",295,285,142.53,WN,0.8087,127.92,WN,0.8087,127.92,-1,,
2024,3,33342,32457,"Milwaukee, WI","San Francisco, CA (Metropolitan Area)",1845,285,294.07,WN,0.4618,263.88,WN,0.4618,263.88,-1,,
2024,3,31295,31136,"Detroit, MI","Jacksonville, FL",813,283,244.81,DL,0.8629,246.75,AA,0.0657,218.80,-1,,
2024,3,32457,30436,"San Francisco, CA (Metropolitan Area)","Tucson, AZ",751,282,234.42,UA,0.4294,251.15,WN,0.3659,212.81,-1,,
2024,3,31986,31454,"Grand Rapids, MI","Orlando, FL",1024,282,185.02,F9,0.3630,89.80,F9,0.3630,89.80,-1,,
2024,3,30977,35096,"Chicago, IL","Syracuse, NY",607,282,248.46,UA,0.5458,246.21,UA,0.5458,246.21,-1,,
2024,3,31453,33667,"Houston, TX","Norfolk, VA (Metropolitan Area)",1209,282,267.85,UA,0.4210,285.74,AA,0.1677,238.07,-1,,
2024,3,31453,33044,"Houston, TX","Louisville, KY",803,281,269.27,UA,0.5380,295.70,WN,0.3472,218.53,-1,,
2024,3,31638,33570,"Fresno, CA","San Diego, CA",314,281,189.98,AS,0.8929,183.44,AS,0.8929,183.44,-1,,
2024,3,30693,31481,"Nashville, TN","Panama City, FL",401,281,207.05,WN,0.9554,203.33,WN,0.9554,203.33,-1,,
2024,3,30785,31703,"Burlington, VT","New York City, NY (Metropolitan Area)",266,280,229.08,DL,0.5828,227.21,DL,0.5828,227.21,-1,,
2024,3,32441,31703,"Jackson, WY","New York City, NY (Metropolitan Area)",1894,280,551.97,UA,0.6094,594.57,AA,0.2382,447.52,-1,,
2024,3,31714,30198,"Fort Myers, FL","Pittsburgh, PA",966,280,214.22,WN,0.7636,217.91,AA,0.1046,181.44,-1,,
2024,3,31057,30198,"Charlotte, NC","Pittsburgh, PA",366,279,279.35,AA,0.8885,288.69,F9,0.0129,119.91,-1,,
2024,3,35096,33195,"Syracuse, NY","Tampa, FL (Metropolitan Area)",1111,279,167.61,G4,0.3721,104.45,G4,0.3721,104.45,-1,,
2024,3,30977,30436,"Chicago, IL","Tucson, AZ",1440,278,289.53,AA,0.5412,306.48,WN,0.2634,248.81,-1,,
2024,3,30189,32211,"Colorado Springs, CO","Las Vegas, NV",604,278,183.86,WN,0.9386,178.27,WN,0.9386,178.27,-1,,
2024,3,30792,31650,"Buffalo, NY","Minneapolis/St. Paul, MN",735,278,183.05,SY,0.4450,106.24,SY,0.4450,106.24,-1,,
2024,3,34689,30559,"Santa Barbara, CA","Seattle, WA",908,277,224.55,AS,0.9012,223.61,WN,0.0278,184.55,-1,,
2024,3,34576,30852,"Rochester, NY","Washington, DC (Metropolitan Area)",296,277,209.37,AA,0.4029,210.26,UA,0.2724,204.88,-1,,
2024,3,31453,33316,"Houston, TX","Omaha, NE",804,277,252.47,UA,0.4992,282.70,WN,0.4041,215.46,-1,,
2024,3,30325,34321,"Denver, CO","Portland, ME",1782,276,337.10,UA,0.5847,390.47,WN,0.1746,263.85,-1,,
2024,3,34004,30466,"Everett, WA","Phoenix, AZ",1133,276,181.21,AS,0.9776,181.49,AS,0.9776,181.49,-1,,
2024,3,33851,31454,"Oklahoma City, OK","Orlando, FL",1069,276,238.96,WN,0.6463,221.28,WN,0.6463,221.28,-1,,
2024,3,30140,30423,"Albuquerque, NM","Austin, TX",619,276,219.17,WN,0.8914,217.36,WN,0.8914,217.36,-1,,
2024,3,31135,34100,"Myrtle Beach, SC","Philadelphia, PA",473,276,152.31,AA,0.5104,212.89,F9,0.2992,82.98,-1,,
2024,3,35096,30852,"Syracuse, NY","Washington, DC (Metropolitan Area)",298,276,225.32,AA,0.5160,237.44,UA,0.3440,215.43,-1,,
2024,3,30868,30852,"Columbia, SC","Washington, DC (Metropolitan Area)",438,275,245.13,AA,0.6870,247.35,UA,0.2340,221.09,-1,,
2024,3,34489,30559,"Bend/Redmond, OR","Seattle, WA",228,274,175.41,AS,0.8220,177.27,DL,0.1761,167.08,-1,,
2024,3,31454,34321,"Orlando, FL","Portland, ME",1214,273,162.88,F9,0.3569,91.46,F9,0.3569,91.46,-1,,
2024,3,30721,33244,"Boston, MA (Metropolitan Area)","Memphis, TN",1139,271,274.94,DL,0.4349,306.84,AA,0.4293,256.06,-1,,
2024,3,30615,31703,"El Paso, TX","New York City, NY (Metropolitan Area)",1944,271,337.46,AA,0.3563,338.10,WN,0.2424,265.07,-1,,
2024,3,30279,30194,"Amarillo, TX","Dallas/Fort Worth, TX",323,271,191.93,WN,0.5759,169.51,WN,0.5759,169.51,-1,,
2024,3,31057,34057,"Charlotte, NC","Portland, OR",2282,270,325.23,AA,0.6127,348.22,DL,0.1324,347.56,-1,,
2024,3,30977,31834,"Chicago, IL","Fayetteville, AR",522,269,246.71,UA,0.5032,243.73,UA,0.5032,243.73,-1,,
2024,3,33214,33195,"San Antonio, TX","Tampa, FL (Metropolitan Area)",972,269,243.22,WN,0.6483,248.28,WN,0.6483,248.28,-1,,
2024,3,30792,31453,"Buffalo, NY","Houston, TX",1297,268,237.80,AA,0.3147,194.46,AA,0.3147,194.46,-1,,
2024,3,33485,30852,"Madison, WI","Washington, DC (Metropolitan Area)",714,268,287.09,AA,0.4903,272.33,AA,0.4903,272.33,-1,,
2024,3,30397,34986,"Atlanta, GA (Metropolitan Area)","Sarasota/Bradenton, FL",444,268,225.82,DL,0.8816,233.47,WN,0.1026,160.64,-1,,
2024,3,30194,34027,"Dallas/Fort Worth, TX","West Palm Beach/Palm Beach, FL",1102,268,304.91,AA,0.8461,305.83,WN,0.0398,213.39,-1,,
2024,3,30666,32211,"Bellingham, WA","Las Vegas, NV",954,268,98.45,G4,0.8838,82.76,G4,0.8838,82.76,-1,,
2024,3,30436,30852,"Tucson, AZ","Washington, DC (Metropolitan Area)",1976,267,339.49,AA,0.5187,334.06,WN,0.1945,295.12,-1,,
2024,3,32211,34653,"Las Vegas, NV","Tulsa, OK",1076,267,224.23,WN,0.6901,241.18,G4,0.1722,89.39,-1,,
2024,3,30194,34653,"Dallas/Fort Worth, TX","Tulsa, OK",238,267,199.64,AA,0.6017,211.82,WN,0.3873,178.65,-1,,
2024,3,32467,33728,"Miami, FL (Metropolitan Area)","Pensacola, FL",530,267,179.37,AA,0.4541,247.79,NK,0.4452,88.64,-1,,
2024,3,30713,30977,"Boise, ID","Chicago, IL",1448,266,292.56,UA,0.5433,335.46,WN,0.1761,225.59,-1,,
2024,3,34057,31123,"Portland, OR","St. Louis, MO",1708,266,275.61,WN,0.5084,273.84,AS,0.1144,270.55,-1,,
2024,3,30713,30194,"Boise, ID","Dallas/Fort Worth, TX",1282,265,306.21,AA,0.5594,337.48,WN,0.2002,239.22,-1,,
2024,3,30194,31871,"Dallas/Fort Worth, TX","Greenville/Spartanburg, SC",862,265,314.98,AA,0.8225,320.81,WN,0.0836,234.09,-1,,
2024,3,30158,32467,"Atlantic City, NJ","Miami, FL (Metropolitan Area)",998,265,95.35,NK,0.9984,95.05,NK,0.9984,95.05,-1,,
2024,3,30140,34057,"Albuquerque, NM","Portland, OR",1111,265,231.21,AS,0.4392,264.80,WN,0.2736,205.57,-1,,
2024,3,30423,30647,"Austin, TX","Cleveland, OH (Metropolitan Area)",1174,264,225.36,F9,0.3285,103.35,F9,0.3285,103.35,-1,,
2024,3,30994,30693,"Charleston, SC","Nashville, TN",439,264,217.36,WN,0.7893,208.76,WN,0.7893,208.76,-1,,
2024,3,34489,32457,"Bend/Redmond, OR","San Francisco, CA (Metropolitan Area)",477,263,233.34,UA,0.6940,233.83,AS,0.2849,231.67,-1,,
2024,3,30599,30325,"Birmingham, AL","Denver, CO",1083,262,285.34,UA,0.4747,305.54,WN,0.4221,245.94,-1,,
2024,3,30325,34689,"Denver, CO","Santa Barbara, CA",916,262,228.28,UA,0.6227,253.99,WN,0.3445,184.11,-1,,
2024,3,30615,30852,"El Paso, TX","Washington, DC (Metropolitan Area)",1741,262,321.98,WN,0.4371,292.91,WN,0.4371,292.91,-1,,
2024,3,30431,30977,"Asheville, NC","Chicago, IL",536,262,202.62,UA,0.5116,211.42,AA,0.3978,207.04,-1,,
2024,3,30994,31295,"Charleston, SC","Detroit, MI",667,262,220.38,DL,0.7994,231.49,AA,0.1038,194.74,-1,,
2024,3,30849,30852,"Bozeman, MT","Washington, DC (Metropolitan Area)",1805,260,347.75,UA,0.3188,424.59,WN,0.3080,279.93,-1,,
2024,3,30849,30194,"Bozeman, MT","Dallas/Fort Worth, TX",1172,260,298.58,AA,0.7931,300.23,WN,0.1187,266.92,-1,,
2024,3,33728,34100,"Pensacola, FL","Philadelphia, PA",935,260,192.56,AA,0.7751,195.15,AA,0.7751,195.15,-1,,
2024,3,30792,32457,"Buffalo, NY","San Francisco, CA (Metropolitan Area)",2309,259,299.75,WN,0.3468,283.19,AA,0.2099,270.51,-1,,
2024,3,34524,32457,"Richmond, VA","San Francisco, CA (Metropolitan Area)",2449,257,275.11,MX,0.2614,171.37,MX,0.2614,171.37,-1,,
2024,3,30647,31135,"Cleveland, OH (Metropolitan Area)","Myrtle Beach, SC",557,257,125.21,NK,0.3703,93.45,NK,0.3703,93.45,-1,,
2024,3,30647,31123,"Cleveland, OH (Metropolitan Area)","St. Louis, MO",498,257,210.87,WN,0.8717,200.78,WN,0.8717,200.78,-1,,
2024,3,31650,34570,"Minneapolis/St. Paul, MN","Reno, NV",1405,256,224.25,SY,0.4163,115.21,SY,0.4163,115.21,-1,,
2024,3,31066,31714,"Columbus, OH","Fort Myers, FL",930,256,214.69,WN,0.7990,216.97,DL,0.1115,206.63,-1,,
2024,3,30721,31986,"Boston, MA (Metropolitan Area)","Grand Rapids, MI",740,256,211.95,G4,0.2939,89.79,G4,0.2939,89.79,-1,,
2024,3,35412,32467,"Knoxville, TN","Miami, FL (Metropolitan Area)",724,256,159.63,G4,0.6527,91.92,G4,0.6527,91.92,-1,,
2024,3,30194,35412,"Dallas/Fort Worth, TX","Knoxville, TN",772,256,312.08,AA,0.9126,306.82,AA,0.9126,306.82,-1,,
2024,3,30257,32575,"Albany, NY","Los Angeles, CA (Metropolitan Area)",2468,256,387.50,WN,0.3192,304.18,WN,0.3192,304.18,-1,,
2024,3,31454,33933,"Orlando, FL","Worcester, MA",1091,256,156.76,B6,0.9936,156.74,B6,0.9936,156.74,-1,,
2024,3,31136,33667,"Jacksonville, FL","Norfolk, VA (Metropolitan Area)",546,255,170.13,MX,0.4136,99.78,MX,0.4136,99.78,-1,,
2024,3,30257,30325,"Albany, NY","Denver, CO",1610,255,316.06,WN,0.6810,299.89,AA,0.1011,264.87,-1,,
2024,3,31295,30529,"Detroit, MI","Hartford, CT",549,253,289.65,DL,0.9267,292.30,AA,0.0253,245.21,-1,,
2024,3,33495,31123,"New Orleans, LA","St. Louis, MO",604,253,229.31,WN,0.8461,232.13,UA,0.0377,212.41,-1,,
2024,3,30994,31650,"Charleston, SC","Minneapolis/St. Paul, MN",1087,253,190.84,DL,0.7010,209.82,SY,0.1783,97.56,-1,,
2024,3,31423,30852,"Des Moines, IA","Washington, DC (Metropolitan Area)",910,253,273.55,AA,0.6378,270.47,WN,0.1135,228.74,-1,,
2024,3,34614,33214,"Salt Lake City, UT","San Antonio, TX",1087,252,283.77,DL,0.6309,311.47,WN,0.1751,271.26,-1,,
2024,3,30977,34653,"Chicago, IL","Tulsa, OK",585,252,256.41,AA,0.3771,269.58,WN,0.3244,217.91,-1,,
2024,3,30693,34524,"Nashville, TN","Richmond, VA",527,251,212.87,WN,0.4704,209.15,G4,0.1514,95.81,-1,,
2024,3,30994,30647,"Charleston, SC","Cleveland, OH (Metropolitan Area)",595,251,134.38,MX,0.5820,87.75,F9,0.1095,79.10,-1,,
2024,3,30257,33195,"Albany, NY","Tampa, FL (Metropolitan Area)",1138,251,190.05,G4,0.4033,97.88,G4,0.4033,97.88,-1,,
2024,3,34570,30852,"Reno, NV","Washington, DC (Metropolitan Area)",2286,251,365.11,WN,0.3840,305.76,WN,0.3840,305.76,-1,,
2024,3,33316,32457,"Omaha, NE","San Francisco, CA (Metropolitan Area)",1433,251,256.55,WN,0.4138,241.05,WN,0.4138,241.05,-1,,
2024,3,33495,33570,"New Orleans, LA","San Diego, CA",1599,250,271.30,WN,0.4974,293.92,AA,0.1646,245.19,-1,,
2024,3,31066,33570,"Columbus, OH","San Diego, CA",1964,250,286.53,WN,0.4221,267.60,WN,0.4221,267.60,-1,,
2024,3,34100,33214,"Philadelphia, PA","San Antonio, TX",1496,250,302.45,AA,0.5992,315.06,WN,0.1815,278.71,-1,,
2024,3,31986,33195,"Grand Rapids, MI","Tampa, FL (Metropolitan Area)",1044,249,158.28,G4,0.6672,94.76,G4,0.6672,94.76,-1,,
2024,3,30325,33486,"Denver, CO","Missoula, MT",679,248,180.55,UA,0.8604,190.73,F9,0.1107,88.43,-1,,
2024,3,31650,31884,"Minneapolis/St. Paul, MN","Spokane, WA",1175,248,253.53,DL,0.6397,302.59,SY,0.2399,109.13,-1,,
2024,3,30325,32600,"Denver, CO","Little Rock, AR",771,248,198.27,UA,0.4562,219.71,F9,0.1209,92.50,-1,,
2024,3,31003,30466,"Cedar Rapids/Iowa City, IA","Phoenix, AZ",1252,248,168.73,AA,0.4809,244.32,G4,0.4691,86.06,-1,,
2024,3,30397,34321,"Atlanta, GA (Metropolitan Area)","Portland, ME",1027,248,372.72,DL,0.7853,402.17,F9,0.0342,127.31,-1,,
2024,3,30431,33195,"Asheville, NC","Tampa, FL (Metropolitan Area)",519,248,123.35,G4,0.8591,91.53,G4,0.8591,91.53,-1,,
2024,3,31267,30852,"Dayton, OH","Washington, DC (Metropolitan Area)",406,247,294.40,AA,0.7156,306.29,UA,0.2765,265.59,-1,,
2024,3,32337,34614,"Indianapolis, IN","Salt Lake City, UT",1355,247,309.73,DL,0.5985,338.56,WN,0.1842,268.00,-1,,
2024,3,30615,31454,"El Paso, TX","Orlando, FL",1516,246,242.58,WN,0.5673,236.57,WN,0.5673,236.57,-1,,
2024,3,32467,32244,"Miami, FL (Metropolitan Area)","New Haven, CT",1126,246,104.17,XP,1.0000,104.17,XP,1.0000,104.17,-1,,
2024,3,30792,30466,"Buffalo, NY","Phoenix, AZ",1912,245,249.82,WN,0.4880,261.26,AA,0.2613,223.65,-1,,
2024,3,30198,34492,"Pittsburgh, PA","Raleigh/Durham, NC",328,245,192.77,AA,0.6988,223.15,MX,0.1453,80.90,-1,,
2024,3,30194,30436,"Dallas/Fort Worth, TX","Tucson, AZ",824,245,283.30,AA,0.8986,284.80,WN,0.0797,266.96,-1,,
2024,3,32600,32575,"Little Rock, AR","Los Angeles, CA (Metropolitan Area)",1494,245,276.26,WN,0.3307,266.37,G4,0.1536,91.20,-1,,
2024,3,30977,30189,"Chicago, IL","Colorado Springs, CO",917,245,233.98,WN,0.4847,192.05,WN,0.4847,192.05,-1,,
2024,3,30529,34492,"Hartford, CT","Raleigh/Durham, NC",532,244,126.02,MX,0.4838,81.70,F9,0.1491,72.08,-1,,
2024,3,30647,34492,"Cleveland, OH (Metropolitan Area)","Raleigh/Durham, NC",416,244,152.82,F9,0.4279,89.64,MX,0.1345,72.75,-1,,
2024,3,30194,32206,"Dallas/Fort Worth, TX","Harlingen/San Benito, TX",461,243,200.35,AA,0.4980,214.88,WN,0.4935,185.07,-1,,
2024,3,32467,33192,"Miami, FL (Metropolitan Area)","Sacramento, CA",2552,243,313.87,AA,0.3934,334.09,WN,0.2119,295.03,-1,,
2024,3,31714,31123,"Fort Myers, FL","St. Louis, MO",979,242,240.07,WN,0.8893,236.97,WN,0.8893,236.97,-1,,
2024,3,31057,31066,"Charlotte, NC","Columbus, OH",347,242,306.94,AA,0.8906,313.38,WN,0.0556,203.04,-1,,
2024,3,30529,30693,"Hartford, CT","Nashville, TN",852,242,257.09,WN,0.6409,256.59,AA,0.1825,223.42,-1,,
2024,3,31057,33244,"Charlotte, NC","Memphis, TN",511,242,269.97,AA,0.9249,269.78,WN,0.0243,204.65,-1,,
2024,3,30647,33570,"Cleveland, OH (Metropolitan Area)","San Diego, CA",2045,242,310.42,WN,0.2349,285.78,F9,0.1854,141.44,-1,,
2024,3,30325,31834,"Denver, CO","Fayetteville, AR",616,241,175.78,UA,0.6357,213.80,F9,0.3120,86.63,-1,,
2024,3,30423,31066,"Austin, TX","Columbus, OH",1073,241,257.66,WN,0.6646,248.02,WN,0.6646,248.02,-1,,
2024,3,31057,33342,"Charlotte, NC","Milwaukee, WI",651,241,272.24,AA,0.8539,274.57,WN,0.0514,231.87,-1,,
2024,3,30994,30198,"Charleston, SC","Pittsburgh, PA",524,241,131.75,MX,0.6109,88.48,MX,0.6109,88.48,-1,,
2024,3,30325,34685,"Denver, CO","Savannah, GA",1414,241,260.57,UA,0.5595,271.73,WN,0.1515,237.56,-1,,
2024,3,30423,30198,"Austin, TX","Pittsburgh, PA",1210,241,258.97,WN,0.6075,257.27,WN,0.6075,257.27,-1,,
2024,3,30977,32070,"Chicago, IL","Harrisburg, PA",594,240,247.43,UA,0.6600,242.55,UA,0.6600,242.55,-1,,
2024,3,30868,31703,"Columbia, SC","New York City, NY (Metropolitan Area)",638,240,253.29,DL,0.5588,256.84,AA,0.4018,246.54,-1,,
2024,3,32600,31703,"Little Rock, AR","New York City, NY (Metropolitan Area)",1125,240,261.24,AA,0.4333,243.98,AA,0.4333,243.98,-1,,
2024,3,31136,30559,"Jacksonville, FL","Seattle, WA",2443,239,372.26,AA,0.3511,329.65,AA,0.3511,329.65,-1,,
2024,3,30157,32575,"Eureka/Arcata, CA","Los Angeles, CA (Metropolitan Area)",609,238,146.02,XP,0.6601,90.58,XP,0.6601,90.58,-1,,
2024,3,32575,33485,"Los Angeles, CA (Metropolitan Area)","Madison, WI",1687,238,289.47,AA,0.3568,287.72,MX,0.1640,132.55,-1,,
2024,3,30977,31995,"Chicago, IL","Greensboro/High Point, NC",589,238,221.48,AA,0.4767,221.55,UA,0.4593,213.11,-1,,
2024,3,32337,34492,"Indianapolis, IN","Raleigh/Durham, NC",489,237,213.78,AA,0.3947,227.53,F9,0.1620,97.16,-1,,
2024,3,30977,31423,"Chicago, IL","Des Moines, IA",306,237,211.53,UA,0.7337,209.97,UA,0.7337,209.97,-1,,
2024,3,30431,30325,"Asheville, NC","Denver, CO",1248,237,197.97,UA,0.4736,254.97,G4,0.3909,94.76,-1,,
2024,3,34057,33195,"Portland, OR","Tampa, FL (Metropolitan Area)",2497,236,296.23,DL,0.2783,354.44,WN,0.2130,249.53,-1,,
2024,3,30977,32600,"Chicago, IL","Little Rock, AR",552,236,236.44,AA,0.5327,234.85,WN,0.1167,209.04,-1,,
2024,3,30721,35412,"Boston, MA (Metropolitan Area)","Knoxville, TN",831,235,203.40,G4,0.4081,94.67,G4,0.4081,94.67,-1,,
2024,3,31057,33192,"Charlotte, NC","Sacramento, CA",2244,235,289.07,AA,0.6547,301.70,WN,0.1122,264.83,-1,,
2024,3,31453,32896,"Houston, TX","Lubbock, TX",475,235,233.09,UA,0.5661,232.96,WN,0.3484,224.69,-1,,
2024,3,30325,31637,"Denver, CO","Fargo, ND",627,235,184.06,UA,0.4986,250.94,F9,0.4607,100.67,-1,,
2024,3,32575,35096,"Los Angeles, CA (Metropolitan Area)","Syracuse, NY",2351,235,349.35,AA,0.3813,327.67,AA,0.3813,327.67,-1,,
2024,3,30599,32575,"Birmingham, AL","Los Angeles, CA (Metropolitan Area)",1815,234,358.07,WN,0.3956,299.36,WN,0.3956,299.36,-1,,
2024,3,33667,30559,"Norfolk, VA (Metropolitan Area)","Seattle, WA",2437,234,387.50,UA,0.3189,361.62,UA,0.3189,361.62,-1,,
2024,3,32575,34252,"Los Angeles, CA (Metropolitan Area)","Pasco/Kennewick/Richland, WA",871,234,184.86,XP,0.3559,97.04,G4,0.1417,85.76,-1,,
2024,3,30990,31703,"Charlottesville, VA","New York City, NY (Metropolitan Area)",324,234,203.76,DL,0.7209,206.48,AA,0.2414,190.86,-1,,
2024,3,30397,30994,"Atlanta, GA (Metropolitan Area)","Charleston, SC",259,233,272.83,DL,0.9832,272.74,DL,0.9832,272.74,-1,,
2024,3,33198,34492,"Kansas City, MO","Raleigh/Durham, NC",904,233,252.79,WN,0.4582,240.04,AA,0.2910,222.97,-1,,
2024,3,31703,34653,"New York City, NY (Metropolitan Area)","Tulsa, OK",1271,232,310.65,AA,0.5750,312.02,WN,0.1272,260.38,-1,,
2024,3,30194,31423,"Dallas/Fort Worth, TX","Des Moines, IA",624,232,284.17,AA,0.8312,292.73,WN,0.1038,222.01,-1,,
2024,3,32575,34685,"Los Angeles, CA (Metropolitan Area)","Savannah, GA",2152,232,350.43,DL,0.3592,392.66,WN,0.1946,251.04,-1,,
2024,3,33044,32457,"Louisville, KY","San Francisco, CA (Metropolitan Area)",1990,232,263.97,WN,0.2900,265.75,MX,0.2512,142.30,-1,,
2024,3,31453,34524,"Houston, TX","Richmond, VA",1166,232,272.36,UA,0.3618,340.22,AA,0.2821,212.29,-1,,
2024,2,32467,31703,"Miami, FL (Metropolitan Area)","New York City, NY (Metropolitan Area)",1118,18809,197.42,B6,0.2550,178.86,NK,0.1251,109.21,-1,,
2024,2,32575,32457,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",372,17527,164.23,WN,0.5736,167.61,AS,0.1140,162.46,-1,,
2024,2,32575,31703,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",2510,13856,436.31,B6,0.2592,376.05,B6,0.2592,376.05,-1,,
2024,2,31703,31454,"New York City, NY (Metropolitan Area)","Orlando, FL",989,13302,183.07,B6,0.3614,182.90,NK,0.1522,108.03,-1,,
2024,2,30977,31703,"Chicago, IL","New York City, NY (Metropolitan Area)",773,11036,210.02,UA,0.4362,225.78,WN,0.1013,165.02,-1,,
2024,2,30397,31703,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",795,9691,194.45,DL,0.4810,239.88,B6,0.1446,149.85,-1,,
2024,2,31703,32457,"New York City, NY (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2619,9142,476.77,UA,0.3198,596.67,AS,0.1845,344.27,-1,,
2024,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,7836,199.85,AS,0.6205,200.99,AS,0.6205,200.99,-1,,
2024,2,32211,32575,"Las Vegas, NV","Los Angeles, CA (Metropolitan Area)",236,7533,138.25,WN,0.5984,151.05,NK,0.1059,91.88,-1,,
2024,2,30721,30852,"Boston, MA (Metropolitan Area)","Washington, DC (Metropolitan Area)",418,7193,190.12,B6,0.2462,172.46,B6,0.2462,172.46,-1,,
2024,2,31703,34027,"New York City, NY (Metropolitan Area)","West Palm Beach/Palm Beach, FL",1056,7160,206.06,B6,0.4722,183.81,B6,0.4722,183.81,-1,,
2024,2,30977,32575,"Chicago, IL","Los Angeles, CA (Metropolitan Area)",1750,7043,261.72,UA,0.3864,293.32,WN,0.2108,231.42,-1,,
2024,2,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,7015,253.01,AA,0.4752,318.48,NK,0.1108,115.16,-1,,
2024,2,33570,32457,"San Diego, CA","San Francisco, CA (Metropolitan Area)",447,6659,165.71,WN,0.6473,162.00,WN,0.6473,162.00,-1,,
2024,2,32211,32457,"Las Vegas, NV","San Francisco, CA (Metropolitan Area)",414,6582,157.89,WN,0.6027,159.14,WN,0.6027,159.14,-1,,
2024,2,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,6570,256.10,AA,0.3952,289.99,WN,0.1211,204.23,-1,,
2024,2,32457,30559,"San Francisco, CA (Metropolitan Area)","Seattle, WA",696,6122,198.81,AS,0.5234,206.82,WN,0.1982,160.68,-1,,
2024,2,31454,30852,"Orlando, FL","Washington, DC (Metropolitan Area)",787,6102,166.52,WN,0.3638,186.14,B6,0.1279,129.84,-1,,
2024,2,32467,30852,"Miami, FL (Metropolitan Area)","Washington, DC (Metropolitan Area)",946,6028,182.75,WN,0.2701,192.80,NK,0.1142,104.41,-1,,
2024,2,31703,33195,"New York City, NY (Metropolitan Area)","Tampa, FL (Metropolitan Area)",1055,6001,193.77,B6,0.3208,175.01,B6,0.3208,175.01,-1,,
2024,2,32575,30852,"Los Angeles, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",2329,5984,311.85,UA,0.3556,327.97,AS,0.1226,275.65,-1,,
2024,2,32575,30466,"Los Angeles, CA (Metropolitan Area)","Phoenix, AZ",370,5914,173.56,WN,0.6370,166.50,WN,0.6370,166.50,-1,,
2024,2,30325,32575,"Denver, CO","Los Angeles, CA (Metropolitan Area)",862,5859,188.27,WN,0.4478,182.11,WN,0.4478,182.11,-1,,
2024,2,30977,30852,"Chicago, IL","Washington, DC (Metropolitan Area)",622,5858,202.68,UA,0.4183,224.14,WN,0.3740,171.10,-1,,
2024,2,30721,31454,"Boston, MA (Metropolitan Area)","Orlando, FL",1142,5760,205.31,B6,0.3445,226.86,NK,0.1631,119.63,-1,,
2024,2,30397,30852,"Atlanta, GA (Metropolitan Area)","Washington, DC (Metropolitan Area)",577,5646,201.26,DL,0.4595,244.36,WN,0.2763,167.21,-1,,
2024,2,30397,32467,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,5496,157.73,DL,0.5596,182.85,WN,0.1261,136.63,-1,,
2024,2,32575,33192,"Los Angeles, CA (Metropolitan Area)","Sacramento, CA",404,5487,180.55,WN,0.9043,178.13,WN,0.9043,178.13,-1,,
2024,2,31453,31703,"Houston, TX","New York City, NY (Metropolitan Area)",1465,5168,243.99,UA,0.4830,293.62,NK,0.1346,111.47,-1,,
2024,2,32211,31703,"Las Vegas, NV","New York City, NY (Metropolitan Area)",2282,5052,357.50,UA,0.3573,394.00,B6,0.2171,348.90,-1,,
2024,2,30977,31454,"Chicago, IL","Orlando, FL",1005,4869,187.24,WN,0.3839,183.97,WN,0.3839,183.97,-1,,
2024,2,30977,30194,"Chicago, IL","Dallas/Fort Worth, TX",802,4778,207.16,WN,0.3590,175.77,WN,0.3590,175.77,-1,,
2024,2,31453,32575,"Houston, TX","Los Angeles, CA (Metropolitan Area)",1390,4656,220.84,UA,0.4021,269.62,NK,0.1666,112.01,-1,,
2024,2,30977,32467,"Chicago, IL","Miami, FL (Metropolitan Area)",1197,4633,201.56,AA,0.2904,248.12,NK,0.2411,107.68,-1,,
2024,2,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,4589,252.89,AA,0.4253,305.04,WN,0.3482,221.50,-1,,
2024,2,30325,31703,"Denver, CO","New York City, NY (Metropolitan Area)",1659,4523,260.39,UA,0.4646,300.46,WN,0.1301,203.50,-1,,
2024,2,32575,32467,"Los Angeles, CA (Metropolitan Area)","Miami, FL (Metropolitan Area)",2343,4508,311.46,AA,0.4594,330.99,DL,0.1342,314.10,-1,,
2024,2,30721,32467,"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)",1283,4497,224.53,B6,0.3139,215.07,NK,0.1258,133.13,-1,,
2024,2,30977,32211,"Chicago, IL","Las Vegas, NV",1521,4482,219.09,WN,0.3761,208.10,NK,0.1344,114.44,-1,,
2024,2,30721,30977,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4481,212.63,UA,0.2878,234.13,WN,0.2082,180.29,-1,,
2024,2,30977,32457,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,4476,297.99,UA,0.5213,343.63,WN,0.2032,242.10,-1,,
