DATA_REF_NO,SAMPLE_REF_NO,PROJECT,WATERSHED,SITE_TYPE,SAMPLE_SITE_NO,SITE_NAME,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_DATE,TIME_NULL,collecting_group,SAMPLE_ID,MEDIUM,DEPTH_IN_METERS,PARAM_TYPE,PARAMETER,QC_TYPE,QUALIFIER,RESULT,UNIT,QC_FLAG,METHOD,FILTER
3016040,595712,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,08/14/2024 12:15:00 PM,N,WRE,35-Barton Spg,Ground Water,,Conventionals,WATER TEMPERATURE,,,22.05,Deg. Celsius,,In-Situ Aqua Troll,Total
3014975,595581,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,07/17/2024 01:35:00 PM,N,WRE,35-Barton Spg,Ground Water,,Alkalinity/Hardness/pH,PH,,,6.92,Standard units,,In-Situ Aqua Troll,Total
3015072,595581,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,07/17/2024 01:35:00 PM,N,WRE,35-Barton Spg,Ground Water,,Oxygen,DISSOLVED OXYGEN,,,5.05,MG/L,,In-Situ Aqua Troll,Dissolved
3015227,595581,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,07/17/2024 01:35:00 PM,N,WRE,35-Barton Spg,Ground Water,,Conventionals,WATER TEMPERATURE,,,22.02,Deg. Celsius,,In-Situ Aqua Troll,Total
3012987,595335,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,06/10/2024 12:15:00 PM,N,WRE,35-Barton Spg,Ground Water,,Conventionals,WATER TEMPERATURE,,,22.33,Deg. Celsius,,In-Situ Aqua Troll,Total
3012972,595335,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,06/10/2024 12:15:00 PM,N,WRE,35-Barton Spg,Ground Water,,Oxygen,DISSOLVED OXYGEN,,,5.39,MG/L,,In-Situ Aqua Troll,Dissolved
3012979,595335,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,06/10/2024 12:15:00 PM,N,WRE,35-Barton Spg,Ground Water,,Alkalinity/Hardness/pH,PH,,,7.18,Standard units,,In-Situ Aqua Troll,Total
3012311,595203,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,05/22/2024 09:20:00 AM,N,WRE,35-Barton Spg,Ground Water,,Conventionals,WATER TEMPERATURE,,,21.61,Deg. Celsius,,In-Situ Aqua Troll,Total
3012299,595203,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,05/22/2024 09:20:00 AM,N,WRE,35-Barton Spg,Ground Water,,Oxygen,DISSOLVED OXYGEN,,,5.37,MG/L,,In-Situ Aqua Troll,Dissolved
3012335,595203,Barton Springs TPDES,Barton Creek,Spring,35,Barton Spring,30.2635351223695,-97.7709796798271,05/22/2024 09:20:00 AM,N,WRE,35-Barton Spg,Ground Water,,Clarity,TURBIDITY,,,0,NTU,,In-Situ Aqua Troll,Total
