,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
56,James Bouknight,SG,23,CHO,14,0,81,18,41,0.439,13,30,0.433,5,11,0.455,0.598,1,2,0.5,1,8,9,6,1,1,2,3,50,bouknja01
198,James Harden,PG,34,LAC,72,72,2470,352,822,0.428,186,488,0.381,166,334,0.497,0.541,302,344,0.878,34,335,369,614,77,57,185,127,1192,hardeja01
249,LeBron James,PF,39,LAL,71,71,2504,685,1269,0.54,149,363,0.41,536,906,0.592,0.599,303,404,0.75,61,457,518,589,89,38,245,78,1822,jamesle01
258,James Johnson,PF,36,IND,9,0,47,3,10,0.3,0,2,0.0,3,8,0.375,0.3,2,2,1.0,1,3,4,8,5,1,5,9,8,johnsja01
563,James Wiseman,C,22,DET,63,6,1091,187,305,0.613,0,2,0.0,187,303,0.617,0.613,72,102,0.706,110,226,336,54,12,39,66,141,446,wisemja01
